,Source,Target,Weight,Type
1,Argensola_Alejandra,Argensola_Isabela,29,undirected
2,Argensola_Alejandra,Bermudez_Lastimosa,1,undirected
3,Argensola_Alejandra,Cervantes_Numancia,4,undirected
4,Argensola_Alejandra,Virues_Semirámis,12,undirected
5,Argensola_Alejandra,Virues_Tirano,8,undirected
6,Argensola_Isabela,Argensola_Alejandra,29,undirected
7,Argensola_Isabela,Artieda_Amantes,3,undirected
8,Argensola_Isabela,Bermudez_Lastimosa,4,undirected
9,Argensola_Isabela,Bermudez_Laureada,1,undirected
10,Argensola_Isabela,Cervantes_Tratos,7,undirected
11,Argensola_Isabela,Virues_Semirámis,13,undirected
12,Artieda_Amantes,Argensola_Isabela,3,undirected
13,Artieda_Amantes,Cervantes_GallardoEspanol,5,undirected
14,Artieda_Amantes,Lasso_Dido.restaurada,1,undirected
15,Artieda_Amantes,Virues_Marcela,12,undirected
16,Artieda_Amantes,Virues_Tirano,9,undirected
17,Bermudez_Lastimosa,Argensola_Alejandra,1,undirected
18,Bermudez_Lastimosa,Argensola_Isabela,4,undirected
19,Bermudez_Lastimosa,Bermudez_Laureada,30,undirected
20,Bermudez_Lastimosa,Cervantes_Tratos,3,undirected
21,Bermudez_Lastimosa,Virues_Marcela,2,undirected
22,Bermudez_Lastimosa,Virues_Semirámis,1,undirected
23,Bermudez_Lastimosa,Virues_Tirano,4,undirected
24,Bermudez_Laureada,Argensola_Isabela,1,undirected
25,Bermudez_Laureada,Bermudez_Lastimosa,30,undirected
26,Bermudez_Laureada,Cervantes_Tratos,6,undirected
27,Bermudez_Laureada,Virues_Marcela,1,undirected
28,Bermudez_Laureada,Virues_Semirámis,7,undirected
29,Cervantes_GallardoEspanol,Artieda_Amantes,5,undirected
30,Cervantes_GallardoEspanol,Cervantes_Numancia,14,undirected
31,Cervantes_GallardoEspanol,Cervantes_Tratos,30,undirected
32,Cervantes_GallardoEspanol,JCueva_Infamador,1,undirected
33,Cervantes_GallardoEspanol,JCueva_Saco,1,undirected
34,Cervantes_GallardoEspanol,Lasso_Dido.restaurada,2,undirected
35,Cervantes_GallardoEspanol,Virues_Marcela,11,undirected
36,Cervantes_Numancia,Argensola_Alejandra,4,undirected
37,Cervantes_Numancia,Cervantes_GallardoEspanol,14,undirected
38,Cervantes_Numancia,Cervantes_Tratos,25,undirected
39,Cervantes_Numancia,Lasso_Dido.restaurada,1,undirected
40,Cervantes_Tratos,Argensola_Isabela,7,undirected
41,Cervantes_Tratos,Bermudez_Lastimosa,3,undirected
42,Cervantes_Tratos,Bermudez_Laureada,6,undirected
43,Cervantes_Tratos,Cervantes_GallardoEspanol,30,undirected
44,Cervantes_Tratos,Cervantes_Numancia,25,undirected
45,Cervantes_Tratos,Lasso_Dido.restaurada,6,undirected
46,Cervantes_Tratos,Virues_Marcela,7,undirected
47,Cervantes_Tratos,Virues_Tirano,2,undirected
48,JCueva_Infamador,Cervantes_GallardoEspanol,1,undirected
49,JCueva_Infamador,JCueva_Principe,16,undirected
50,JCueva_Infamador,JCueva_Saco,30,undirected
51,JCueva_Infamador,Lasso_Dido.restaurada,3,undirected
52,JCueva_Infamador,Virues_Marcela,9,undirected
53,JCueva_Infamador,Virues_Tirano,2,undirected
54,JCueva_Principe,JCueva_Infamador,16,undirected
55,JCueva_Principe,JCueva_Saco,7,undirected
56,JCueva_Principe,Lasso_Constantinopla,25,undirected
57,JCueva_Principe,Lasso_Dido.restaurada,1,undirected
58,JCueva_Saco,Cervantes_GallardoEspanol,1,undirected
59,JCueva_Saco,JCueva_Infamador,30,undirected
60,JCueva_Saco,JCueva_Principe,7,undirected
61,JCueva_Saco,Lasso_Constantinopla,9,undirected
62,JCueva_Saco,Lasso_Dido.restaurada,3,undirected
63,Lasso_Constantinopla,JCueva_Principe,25,undirected
64,Lasso_Constantinopla,JCueva_Saco,9,undirected
65,Lasso_Constantinopla,Lasso_Dido.restaurada,30,undirected
66,Lasso_Constantinopla,Virues_Semirámis,2,undirected
67,Lasso_Constantinopla,Virues_Tirano,2,undirected
68,Lasso_Dido.restaurada,Artieda_Amantes,1,undirected
69,Lasso_Dido.restaurada,Cervantes_GallardoEspanol,2,undirected
70,Lasso_Dido.restaurada,Cervantes_Numancia,1,undirected
71,Lasso_Dido.restaurada,Cervantes_Tratos,6,undirected
72,Lasso_Dido.restaurada,JCueva_Infamador,3,undirected
73,Lasso_Dido.restaurada,JCueva_Principe,1,undirected
74,Lasso_Dido.restaurada,JCueva_Saco,3,undirected
75,Lasso_Dido.restaurada,Lasso_Constantinopla,30,undirected
76,Lasso_Dido.restaurada,Virues_Marcela,5,undirected
77,Lasso_Dido.restaurada,Virues_Semirámis,2,undirected
78,Virues_Marcela,Artieda_Amantes,12,undirected
79,Virues_Marcela,Bermudez_Lastimosa,2,undirected
80,Virues_Marcela,Bermudez_Laureada,1,undirected
81,Virues_Marcela,Cervantes_GallardoEspanol,11,undirected
82,Virues_Marcela,Cervantes_Tratos,7,undirected
83,Virues_Marcela,JCueva_Infamador,9,undirected
84,Virues_Marcela,Lasso_Dido.restaurada,5,undirected
85,Virues_Marcela,Virues_Semirámis,23,undirected
86,Virues_Marcela,Virues_Tirano,19,undirected
87,Virues_Semirámis,Argensola_Alejandra,12,undirected
88,Virues_Semirámis,Argensola_Isabela,13,undirected
89,Virues_Semirámis,Bermudez_Lastimosa,1,undirected
90,Virues_Semirámis,Bermudez_Laureada,7,undirected
