"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_GallardoEspanol" "Cervantes_Numancia" "Cervantes_Tratos" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.904654501633143 1.09589026834307 1.01293922798622 1.08431203726116 1.11260049626936 1.00635630828413 1.0886274149922 1.09446237172163 1.08705497460236 1.11784821569072 1.11085455467585 1.09529512060825 1.10138616136268 1.04991192041485 0.970740022036475
"Argensola_Isabela" 0.904654501633143 0 1.00327330595567 0.970556691506337 1.04760163967942 1.05900898908101 1.05291744781044 1.06553587849513 1.09292738629154 1.09904408070182 1.13662315108168 1.10797742526674 1.12067794157866 1.12949882214413 1.02830631376615 1.07815898817858
"Artieda_Amantes" 1.09589026834307 1.00327330595567 0 1.09881921050163 1.15599318681815 0.976585434922921 1.16500946327512 1.03728872113715 1.05394375862484 1.12825839008105 1.10087736901802 1.06183324877464 1.08077706385816 0.974625016000228 1.07937304613678 1.04353969033102
"Bermudez_Lastimosa" 1.01293922798622 0.970556691506337 1.09881921050163 0 0.703769554571637 1.15434141045105 1.07089878549332 1.04725327063175 1.12642070218578 1.14792865888418 1.1993415484801 1.15545175511091 1.17608963699211 1.14889836950889 1.0617872525029 1.07438005335214
"Bermudez_Laureada" 1.08431203726116 1.04760163967942 1.15599318681815 0.703769554571637 0 1.19346313077813 1.05713475939671 1.06141437429402 1.19245021846235 1.08585565916003 1.13062306818327 1.05752400437773 1.09377390659511 1.19099351263992 1.03164279304019 1.05339147676082
"Cervantes_GallardoEspanol" 1.11260049626936 1.05900898908101 0.976585434922921 1.15434141045105 1.19346313077813 0 0.989637620844155 0.870050479768392 1.02990897022344 1.19477299525614 1.01024601220302 1.09748486924577 1.04530703117935 0.947200612189616 1.12879002415025 1.09470460361729
"Cervantes_Numancia" 1.00635630828413 1.05291744781044 1.16500946327512 1.07089878549332 1.05713475939671 0.989637620844155 0 0.964239274755658 1.16048579516459 1.11881825555619 1.01102598108603 1.06468519412156 1.05058887954267 1.02637809614914 1.09898041828723 1.12502210418048
"Cervantes_Tratos" 1.0886274149922 1.06553587849513 1.03728872113715 1.04725327063175 1.06141437429402 0.870050479768392 0.964239274755658 0 1.06303723427947 1.19131841321107 1.15068606996159 1.12674804269519 1.05206436484925 0.99752406446542 1.09072482083569 1.07002346568086
"JCueva_Infamador" 1.09446237172163 1.09292738629154 1.05394375862484 1.12642070218578 1.19245021846235 1.02990897022344 1.16048579516459 1.06303723427947 0 0.907362226957362 0.891058683064812 1.11196674629779 1.04545829206561 1.02378148318312 1.1215015892544 1.07870287180119
"JCueva_Principe" 1.08705497460236 1.09904408070182 1.12825839008105 1.14792865888418 1.08585565916003 1.19477299525614 1.11881825555619 1.19131841321107 0.907362226957362 0 0.935275860327062 0.895738040839028 1.02673449828289 1.17392762822929 1.07727615915632 1.14136241333096
"JCueva_Saco" 1.11784821569072 1.13662315108168 1.10087736901802 1.1993415484801 1.13062306818327 1.01024601220302 1.01102598108603 1.15068606996159 0.891058683064812 0.935275860327062 0 1.01727194117922 1.03034762937029 1.10784381000102 1.13681476716804 1.11472511994394
"Lasso_Constantinopla" 1.11085455467585 1.10797742526674 1.06183324877464 1.15545175511091 1.05752400437773 1.09748486924577 1.06468519412156 1.12674804269519 1.11196674629779 0.895738040839028 1.01727194117922 0 0.87241690871031 1.11543175637052 1.09877465641197 1.12573661593047
"Lasso_Dido.restaurada" 1.09529512060825 1.12067794157866 1.08077706385816 1.17608963699211 1.09377390659511 1.04530703117935 1.05058887954267 1.05206436484925 1.04545829206561 1.02673449828289 1.03034762937029 0.87241690871031 0 1.06438199556954 1.05320783287493 1.10788970378222
"Virues_Marcela" 1.10138616136268 1.12949882214413 0.974625016000228 1.14889836950889 1.19099351263992 0.947200612189616 1.02637809614914 0.99752406446542 1.02378148318312 1.17392762822929 1.10784381000102 1.11543175637052 1.06438199556954 0 0.919008310327632 0.986391589044697
"Virues_Semirámis" 1.04991192041485 1.02830631376615 1.07937304613678 1.0617872525029 1.03164279304019 1.12879002415025 1.09898041828723 1.09072482083569 1.1215015892544 1.07727615915632 1.13681476716804 1.09877465641197 1.05320783287493 0.919008310327632 0 0.882383528823447
"Virues_Tirano" 0.970740022036475 1.07815898817858 1.04353969033102 1.07438005335214 1.05339147676082 1.09470460361729 1.12502210418048 1.07002346568086 1.07870287180119 1.14136241333096 1.11472511994394 1.12573661593047 1.10788970378222 0.986391589044697 0.882383528823447 0
