,Source,Target,Weight,Type
1,Argensola_Alejandra,Argensola_Isabela,60,undirected
2,Argensola_Alejandra,Bermudez_Lastimosa,15,undirected
3,Argensola_Alejandra,Cervantes_Numancia,4,undirected
4,Argensola_Alejandra,Virues_Semirámis,9,undirected
5,Argensola_Alejandra,Virues_Tirano,29,undirected
6,Argensola_Isabela,Argensola_Alejandra,60,undirected
7,Argensola_Isabela,Artieda_Amantes,20,undirected
8,Argensola_Isabela,Bermudez_Lastimosa,37,undirected
9,Argensola_Isabela,Bermudez_Laureada,8,undirected
10,Argensola_Isabela,Virues_Semirámis,15,undirected
11,Artieda_Amantes,Argensola_Isabela,20,undirected
12,Artieda_Amantes,Cervantes_GallardoEspanol,35,undirected
13,Artieda_Amantes,JCueva_Infamador,2,undirected
14,Artieda_Amantes,Virues_Marcela,14,undirected
15,Artieda_Amantes,Virues_Tirano,2,undirected
16,Bermudez_Lastimosa,Argensola_Alejandra,15,undirected
17,Bermudez_Lastimosa,Argensola_Isabela,37,undirected
18,Bermudez_Lastimosa,Bermudez_Laureada,60,undirected
19,Bermudez_Laureada,Argensola_Isabela,8,undirected
20,Bermudez_Laureada,Bermudez_Lastimosa,60,undirected
21,Bermudez_Laureada,Cervantes_Tratos,1,undirected
22,Bermudez_Laureada,Virues_Semirámis,21,undirected
23,Bermudez_Laureada,Virues_Tirano,1,undirected
24,Cervantes_GallardoEspanol,Artieda_Amantes,35,undirected
25,Cervantes_GallardoEspanol,Cervantes_Numancia,12,undirected
26,Cervantes_GallardoEspanol,Cervantes_Tratos,58,undirected
27,Cervantes_GallardoEspanol,Duda_Jerusalem,34,undirected
28,Cervantes_GallardoEspanol,Lasso_Dido.restaurada,1,undirected
29,Cervantes_GallardoEspanol,Virues_Marcela,14,undirected
30,Cervantes_Numancia,Argensola_Alejandra,4,undirected
31,Cervantes_Numancia,Cervantes_GallardoEspanol,12,undirected
32,Cervantes_Numancia,Cervantes_Tratos,30,undirected
33,Cervantes_Numancia,Duda_Jerusalem,51,undirected
34,Cervantes_Numancia,JCueva_Saco,1,undirected
35,Cervantes_Numancia,Lasso_Dido.restaurada,13,undirected
36,Cervantes_Tratos,Bermudez_Laureada,1,undirected
37,Cervantes_Tratos,Cervantes_GallardoEspanol,58,undirected
38,Cervantes_Tratos,Cervantes_Numancia,30,undirected
39,Cervantes_Tratos,Duda_Jerusalem,47,undirected
40,Duda_Jerusalem,Cervantes_GallardoEspanol,34,undirected
41,Duda_Jerusalem,Cervantes_Numancia,51,undirected
42,Duda_Jerusalem,Cervantes_Tratos,47,undirected
43,Duda_Jerusalem,Virues_Marcela,1,undirected
44,JCueva_Infamador,Artieda_Amantes,2,undirected
45,JCueva_Infamador,JCueva_Principe,42,undirected
46,JCueva_Infamador,JCueva_Saco,58,undirected
47,JCueva_Infamador,Lasso_Dido.restaurada,5,undirected
48,JCueva_Infamador,Virues_Marcela,8,undirected
49,JCueva_Principe,JCueva_Infamador,42,undirected
50,JCueva_Principe,JCueva_Saco,30,undirected
51,JCueva_Principe,Lasso_Constantinopla,58,undirected
52,JCueva_Principe,Lasso_Dido.restaurada,2,undirected
53,JCueva_Saco,Cervantes_Numancia,1,undirected
54,JCueva_Saco,JCueva_Infamador,58,undirected
55,JCueva_Saco,JCueva_Principe,30,undirected
56,JCueva_Saco,Lasso_Constantinopla,20,undirected
57,JCueva_Saco,Lasso_Dido.restaurada,6,undirected
58,Lasso_Constantinopla,JCueva_Principe,58,undirected
59,Lasso_Constantinopla,JCueva_Saco,20,undirected
60,Lasso_Constantinopla,Lasso_Dido.restaurada,52,undirected
61,Lasso_Dido.restaurada,Cervantes_GallardoEspanol,1,undirected
62,Lasso_Dido.restaurada,Cervantes_Numancia,13,undirected
63,Lasso_Dido.restaurada,JCueva_Infamador,5,undirected
64,Lasso_Dido.restaurada,JCueva_Principe,2,undirected
65,Lasso_Dido.restaurada,JCueva_Saco,6,undirected
66,Lasso_Dido.restaurada,Lasso_Constantinopla,52,undirected
67,Lasso_Dido.restaurada,Virues_Marcela,4,undirected
68,Virues_Marcela,Artieda_Amantes,14,undirected
69,Virues_Marcela,Cervantes_GallardoEspanol,14,undirected
70,Virues_Marcela,Duda_Jerusalem,1,undirected
71,Virues_Marcela,JCueva_Infamador,8,undirected
72,Virues_Marcela,Lasso_Dido.restaurada,4,undirected
73,Virues_Marcela,Virues_Semirámis,50,undirected
74,Virues_Marcela,Virues_Tirano,30,undirected
75,Virues_Semirámis,Argensola_Alejandra,9,undirected
76,Virues_Semirámis,Argensola_Isabela,15,undirected
77,Virues_Semirámis,Bermudez_Laureada,21,undirected
78,Virues_Semirámis,Virues_Marcela,50,undirected
79,Virues_Semirámis,Virues_Tirano,60,undirected
80,Virues_Tirano,Argensola_Alejandra,29,undirected
81,Virues_Tirano,Artieda_Amantes,2,undirected
82,Virues_Tirano,Bermudez_Laureada,1,undirected
83,Virues_Tirano,Virues_Marcela,30,undirected
84,Virues_Tirano,Virues_Semirámis,60,undirected
