"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_GallardoEspanol" "Cervantes_Numancia" "Cervantes_Tratos" "Duda_Jerusalem" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.939207700483213 1.07508223889948 1.03992544313735 1.07094358697311 1.10188929416711 1.04162258068894 1.08693044491832 1.07597630997036 1.08443271470086 1.08179377360862 1.10013773241999 1.09729449937556 1.07967872046673 1.06290156700585 1.02248756043579 1.01578839190846
"Argensola_Isabela" 0.939207700483213 0 1.02392990466761 0.998503481457721 1.03436883570972 1.09651621150329 1.080762522799 1.06897241352585 1.03730698923836 1.08214532584198 1.08786756179002 1.11862413170332 1.11221795027579 1.09242415963257 1.07815296600324 1.01270694716975 1.09530049372417
"Artieda_Amantes" 1.07508223889948 1.02392990466761 0 1.07209752456614 1.10561004400207 1.00786516449141 1.11104244668223 1.04623338819513 1.09795907061135 1.06164697303409 1.10114412912694 1.08516757910567 1.08428249925673 1.06039660230159 1.04350945971689 1.07032065756968 1.04347337298976
"Bermudez_Lastimosa" 1.03992544313735 0.998503481457721 1.07209752456614 0 0.831623128516633 1.09861127852643 1.08390237404688 1.0658097521895 1.09700748665973 1.0967910513665 1.09473366824668 1.13016244599358 1.12049463014265 1.10643347236689 1.08302553599294 1.06875132884675 1.05272819632758
"Bermudez_Laureada" 1.07094358697311 1.03436883570972 1.10561004400207 0.831623128516633 0 1.12469066707557 1.07597440328627 1.06571942740841 1.09067861604639 1.12338625505929 1.07855739827876 1.10263924488079 1.05807779277846 1.08829889769731 1.101437700936 1.02334595997119 1.07516554517459
"Cervantes_GallardoEspanol" 1.10188929416711 1.09651621150329 1.00786516449141 1.09861127852643 1.12469066707557 0 1.01167365633204 0.949020606973813 0.959319780023289 1.05921442494955 1.13320573864165 1.0644346185537 1.09024124419136 1.06038432405913 1.01852048826468 1.09123857781884 1.07769455893414
"Cervantes_Numancia" 1.04162258068894 1.080762522799 1.11104244668223 1.08390237404688 1.07597440328627 1.01167365633204 0 0.975769842387245 0.954318532470356 1.11679073251771 1.11447443122805 1.0419828461826 1.08236901914948 1.03923141163904 1.07349022707199 1.10146573669329 1.07884506273924
"Cervantes_Tratos" 1.08693044491832 1.06897241352585 1.04623338819513 1.0658097521895 1.06571942740841 0.949020606973813 0.975769842387245 0 0.953215214041393 1.07747053279957 1.12800283799389 1.1153664061263 1.08719436117331 1.05708854264271 1.05041584498076 1.08694653982102 1.07383286528457
"Duda_Jerusalem" 1.07597630997036 1.03730698923836 1.09795907061135 1.09700748665973 1.09067861604639 0.959319780023289 0.954318532470356 0.953215214041393 0 1.0669427648853 1.11369364739908 1.06481876948491 1.1030113055397 1.07553028874502 1.05575047897582 1.06192014613379 1.0727748905225
"JCueva_Infamador" 1.08443271470086 1.08214532584198 1.06164697303409 1.0967910513665 1.12338625505929 1.05921442494955 1.11679073251771 1.07747053279957 1.0669427648853 0 0.948733663417603 0.943833323008175 1.06719082883669 1.05551835140497 1.04280862163605 1.10186162339656 1.05889315707212
"JCueva_Principe" 1.08179377360862 1.08786756179002 1.10114412912694 1.09473366824668 1.07855739827876 1.13320573864165 1.11447443122805 1.12800283799389 1.11369364739908 0.948733663417603 0 0.960810679124573 0.925866908317352 1.06886172271046 1.10922123335237 1.07662590237497 1.10375934760509
"JCueva_Saco" 1.10013773241999 1.11862413170332 1.08516757910567 1.13016244599358 1.10263924488079 1.0644346185537 1.0419828461826 1.1153664061263 1.06481876948491 0.943833323008175 0.960810679124573 0 1.02236345868622 1.06169071989936 1.09080026863404 1.10279441638287 1.09643753546274
"Lasso_Constantinopla" 1.09729449937556 1.11221795027579 1.08428249925673 1.12049463014265 1.05807779277846 1.09024124419136 1.08236901914948 1.08719436117331 1.1030113055397 1.06719082883669 0.925866908317352 1.02236345868622 0 0.949830784080349 1.09204379759572 1.0816974968408 1.08410186625298
"Lasso_Dido.restaurada" 1.07967872046673 1.09242415963257 1.06039660230159 1.10643347236689 1.08829889769731 1.06038432405913 1.03923141163904 1.05708854264271 1.07553028874502 1.05551835140497 1.06886172271046 1.06169071989936 0.949830784080349 0 1.050787128904 1.09764316319989 1.07745622448041
"Virues_Marcela" 1.06290156700585 1.07815296600324 1.04350945971689 1.08302553599294 1.101437700936 1.01852048826468 1.07349022707199 1.05041584498076 1.05575047897582 1.04280862163605 1.10922123335237 1.09080026863404 1.09204379759572 1.050787128904 0 0.984848868960568 1.01718762615395
"Virues_Semirámis" 1.02248756043579 1.01270694716975 1.07032065756968 1.06875132884675 1.02334595997119 1.09123857781884 1.10146573669329 1.08694653982102 1.06192014613379 1.10186162339656 1.07662590237497 1.10279441638287 1.0816974968408 1.09764316319989 0.984848868960568 0 0.929780360235117
"Virues_Tirano" 1.01578839190846 1.09530049372417 1.04347337298976 1.05272819632758 1.07516554517459 1.07769455893414 1.07884506273924 1.07383286528457 1.0727748905225 1.05889315707212 1.10375934760509 1.09643753546274 1.08410186625298 1.07745622448041 1.01718762615395 0.929780360235117 0
