,Source,Target,Weight,Type
1,Argensola_Alejandra,Argensola_Isabela,30,undirected
2,Argensola_Alejandra,Bermudez_Lastimosa,8,undirected
3,Argensola_Alejandra,Virues_Semirámis,9,undirected
4,Argensola_Alejandra,Virues_Tirano,14,undirected
5,Argensola_Isabela,Argensola_Alejandra,30,undirected
6,Argensola_Isabela,Artieda_Amantes,7,undirected
7,Argensola_Isabela,Bermudez_Lastimosa,19,undirected
8,Argensola_Isabela,Bermudez_Laureada,6,undirected
9,Argensola_Isabela,Duda_Jerusalem,3,undirected
10,Argensola_Isabela,Virues_Semirámis,4,undirected
11,Artieda_Amantes,Argensola_Isabela,7,undirected
12,Artieda_Amantes,Cervantes_GallardoEspanol,7,undirected
13,Artieda_Amantes,Cervantes_Urdemalas,20,undirected
14,Artieda_Amantes,Virues_Marcela,2,undirected
15,Bermudez_Lastimosa,Argensola_Alejandra,8,undirected
16,Bermudez_Lastimosa,Argensola_Isabela,19,undirected
17,Bermudez_Lastimosa,Bermudez_Laureada,30,undirected
18,Bermudez_Laureada,Argensola_Isabela,6,undirected
19,Bermudez_Laureada,Bermudez_Lastimosa,30,undirected
20,Bermudez_Laureada,Lasso_Constantinopla,1,undirected
21,Bermudez_Laureada,Virues_Semirámis,9,undirected
22,Cervantes_CasaCelos,Cervantes_GallardoEspanol,26,undirected
23,Cervantes_CasaCelos,Cervantes_Urdemalas,18,undirected
24,Cervantes_CasaCelos,Duda_Jerusalem,22,undirected
25,Cervantes_CasaCelos,Virues_Marcela,4,undirected
26,Cervantes_GallardoEspanol,Artieda_Amantes,7,undirected
27,Cervantes_GallardoEspanol,Cervantes_CasaCelos,26,undirected
28,Cervantes_GallardoEspanol,Cervantes_Urdemalas,29,undirected
29,Cervantes_GallardoEspanol,Duda_Jerusalem,15,undirected
30,Cervantes_GallardoEspanol,Virues_Marcela,2,undirected
31,Cervantes_Urdemalas,Artieda_Amantes,20,undirected
32,Cervantes_Urdemalas,Cervantes_CasaCelos,18,undirected
33,Cervantes_Urdemalas,Cervantes_GallardoEspanol,29,undirected
34,Cervantes_Urdemalas,Duda_Jerusalem,4,undirected
35,Cervantes_Urdemalas,Lasso_Dido.restaurada,7,undirected
36,Duda_Jerusalem,Argensola_Isabela,3,undirected
37,Duda_Jerusalem,Cervantes_CasaCelos,22,undirected
38,Duda_Jerusalem,Cervantes_GallardoEspanol,15,undirected
39,Duda_Jerusalem,Cervantes_Urdemalas,4,undirected
40,Duda_Jerusalem,Virues_Marcela,1,undirected
41,JCueva_Infamador,JCueva_Principe,20,undirected
42,JCueva_Infamador,JCueva_Saco,30,undirected
43,JCueva_Infamador,Virues_Marcela,5,undirected
44,JCueva_Principe,JCueva_Infamador,20,undirected
45,JCueva_Principe,JCueva_Saco,15,undirected
46,JCueva_Principe,Lasso_Constantinopla,29,undirected
47,JCueva_Principe,Lasso_Dido.restaurada,2,undirected
48,JCueva_Saco,JCueva_Infamador,30,undirected
49,JCueva_Saco,JCueva_Principe,15,undirected
50,JCueva_Saco,Lasso_Constantinopla,10,undirected
51,JCueva_Saco,Lasso_Dido.restaurada,6,undirected
52,Lasso_Constantinopla,Bermudez_Laureada,1,undirected
53,Lasso_Constantinopla,JCueva_Principe,29,undirected
54,Lasso_Constantinopla,JCueva_Saco,10,undirected
55,Lasso_Constantinopla,Lasso_Dido.restaurada,26,undirected
56,Lasso_Dido.restaurada,Cervantes_Urdemalas,7,undirected
57,Lasso_Dido.restaurada,JCueva_Principe,2,undirected
58,Lasso_Dido.restaurada,JCueva_Saco,6,undirected
59,Lasso_Dido.restaurada,Lasso_Constantinopla,26,undirected
60,Virues_Marcela,Artieda_Amantes,2,undirected
61,Virues_Marcela,Cervantes_CasaCelos,4,undirected
62,Virues_Marcela,Cervantes_GallardoEspanol,2,undirected
63,Virues_Marcela,Duda_Jerusalem,1,undirected
64,Virues_Marcela,JCueva_Infamador,5,undirected
65,Virues_Marcela,Virues_Semirámis,25,undirected
66,Virues_Marcela,Virues_Tirano,15,undirected
67,Virues_Semirámis,Argensola_Alejandra,9,undirected
68,Virues_Semirámis,Argensola_Isabela,4,undirected
69,Virues_Semirámis,Bermudez_Laureada,9,undirected
70,Virues_Semirámis,Virues_Marcela,25,undirected
71,Virues_Semirámis,Virues_Tirano,30,undirected
72,Virues_Tirano,Argensola_Alejandra,14,undirected
73,Virues_Tirano,Virues_Marcela,15,undirected
74,Virues_Tirano,Virues_Semirámis,30,undirected
