,Source,Target,Weight,Type
1,Argensola_Alejandra,Argensola_Isabela,30,undirected
2,Argensola_Alejandra,Bermudez_Lastimosa,4,undirected
3,Argensola_Alejandra,Duda_Jerusalem,1,undirected
4,Argensola_Alejandra,Virues_Semirámis,10,undirected
5,Argensola_Alejandra,Virues_Tirano,6,undirected
6,Argensola_Isabela,Argensola_Alejandra,30,undirected
7,Argensola_Isabela,Bermudez_Lastimosa,5,undirected
8,Argensola_Isabela,Duda_Jerusalem,6,undirected
9,Argensola_Isabela,Virues_Semirámis,9,undirected
10,Artieda_Amantes,Cervantes_CasaCelos,4,undirected
11,Artieda_Amantes,Cervantes_Urdemalas,15,undirected
12,Artieda_Amantes,Virues_Marcela,7,undirected
13,Artieda_Amantes,Virues_Tirano,4,undirected
14,Bermudez_Lastimosa,Argensola_Alejandra,4,undirected
15,Bermudez_Lastimosa,Argensola_Isabela,5,undirected
16,Bermudez_Lastimosa,Bermudez_Laureada,30,undirected
17,Bermudez_Lastimosa,Cervantes_Tratos,4,undirected
18,Bermudez_Lastimosa,Virues_Semirámis,1,undirected
19,Bermudez_Lastimosa,Virues_Tirano,1,undirected
20,Bermudez_Laureada,Bermudez_Lastimosa,30,undirected
21,Bermudez_Laureada,Cervantes_Tratos,4,undirected
22,Bermudez_Laureada,Cervantes_Urdemalas,1,undirected
23,Bermudez_Laureada,Virues_Semirámis,10,undirected
24,Cervantes_CasaCelos,Artieda_Amantes,4,undirected
25,Cervantes_CasaCelos,Cervantes_Tratos,12,undirected
26,Cervantes_CasaCelos,Cervantes_Urdemalas,27,undirected
27,Cervantes_CasaCelos,Duda_Jerusalem,22,undirected
28,Cervantes_CasaCelos,JCueva_Infamador,3,undirected
29,Cervantes_CasaCelos,Virues_Marcela,2,undirected
30,Cervantes_CasaCelos,Virues_Tirano,1,undirected
31,Cervantes_Tratos,Bermudez_Lastimosa,4,undirected
32,Cervantes_Tratos,Bermudez_Laureada,4,undirected
33,Cervantes_Tratos,Cervantes_CasaCelos,12,undirected
34,Cervantes_Tratos,Cervantes_Urdemalas,24,undirected
35,Cervantes_Tratos,Duda_Jerusalem,25,undirected
36,Cervantes_Tratos,Lasso_Dido.restaurada,5,undirected
37,Cervantes_Urdemalas,Artieda_Amantes,15,undirected
38,Cervantes_Urdemalas,Bermudez_Laureada,1,undirected
39,Cervantes_Urdemalas,Cervantes_CasaCelos,27,undirected
40,Cervantes_Urdemalas,Cervantes_Tratos,24,undirected
41,Cervantes_Urdemalas,Duda_Jerusalem,10,undirected
42,Cervantes_Urdemalas,JCueva_Infamador,8,undirected
43,Cervantes_Urdemalas,Lasso_Constantinopla,4,undirected
44,Cervantes_Urdemalas,Lasso_Dido.restaurada,10,undirected
45,Cervantes_Urdemalas,Virues_Marcela,5,undirected
46,Duda_Jerusalem,Argensola_Alejandra,1,undirected
47,Duda_Jerusalem,Argensola_Isabela,6,undirected
48,Duda_Jerusalem,Cervantes_CasaCelos,22,undirected
49,Duda_Jerusalem,Cervantes_Tratos,25,undirected
50,Duda_Jerusalem,Cervantes_Urdemalas,10,undirected
51,Duda_Jerusalem,JCueva_Infamador,1,undirected
52,Duda_Jerusalem,Virues_Marcela,4,undirected
53,Duda_Jerusalem,Virues_Semirámis,5,undirected
54,Duda_Jerusalem,Virues_Tirano,5,undirected
55,JCueva_Infamador,Cervantes_CasaCelos,3,undirected
56,JCueva_Infamador,Cervantes_Urdemalas,8,undirected
57,JCueva_Infamador,Duda_Jerusalem,1,undirected
58,JCueva_Infamador,JCueva_Principe,13,undirected
59,JCueva_Infamador,JCueva_Saco,27,undirected
60,JCueva_Infamador,Virues_Marcela,3,undirected
61,JCueva_Principe,JCueva_Infamador,13,undirected
62,JCueva_Principe,JCueva_Saco,6,undirected
63,JCueva_Principe,Lasso_Constantinopla,24,undirected
64,JCueva_Principe,Lasso_Dido.restaurada,1,undirected
65,JCueva_Saco,JCueva_Infamador,27,undirected
66,JCueva_Saco,JCueva_Principe,6,undirected
67,JCueva_Saco,Lasso_Constantinopla,11,undirected
68,JCueva_Saco,Lasso_Dido.restaurada,4,undirected
69,Lasso_Constantinopla,Cervantes_Urdemalas,4,undirected
70,Lasso_Constantinopla,JCueva_Principe,24,undirected
71,Lasso_Constantinopla,JCueva_Saco,11,undirected
72,Lasso_Constantinopla,Lasso_Dido.restaurada,30,undirected
73,Lasso_Dido.restaurada,Cervantes_Tratos,5,undirected
74,Lasso_Dido.restaurada,Cervantes_Urdemalas,10,undirected
75,Lasso_Dido.restaurada,JCueva_Principe,1,undirected
76,Lasso_Dido.restaurada,JCueva_Saco,4,undirected
77,Lasso_Dido.restaurada,Lasso_Constantinopla,30,undirected
78,Virues_Marcela,Artieda_Amantes,7,undirected
79,Virues_Marcela,Cervantes_CasaCelos,2,undirected
80,Virues_Marcela,Cervantes_Urdemalas,5,undirected
81,Virues_Marcela,Duda_Jerusalem,4,undirected
82,Virues_Marcela,JCueva_Infamador,3,undirected
83,Virues_Marcela,Virues_Semirámis,25,undirected
84,Virues_Marcela,Virues_Tirano,11,undirected
85,Virues_Semirámis,Argensola_Alejandra,10,undirected
86,Virues_Semirámis,Argensola_Isabela,9,undirected
87,Virues_Semirámis,Bermudez_Lastimosa,1,undirected
88,Virues_Semirámis,Bermudez_Laureada,10,undirected
89,Virues_Semirámis,Duda_Jerusalem,5,undirected
90,Virues_Semirámis,Virues_Marcela,25,undirected
91,Virues_Semirámis,Virues_Tirano,30,undirected
92,Virues_Tirano,Argensola_Alejandra,6,undirected
93,Virues_Tirano,Artieda_Amantes,4,undirected
94,Virues_Tirano,Bermudez_Lastimosa,1,undirected
95,Virues_Tirano,Cervantes_CasaCelos,1,undirected
96,Virues_Tirano,Duda_Jerusalem,5,undirected
97,Virues_Tirano,Virues_Marcela,11,undirected
98,Virues_Tirano,Virues_Semirámis,30,undirected
