"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_CasaCelos" "Cervantes_Tratos" "Cervantes_Urdemalas" "Duda_Jerusalem" "JCueva_Infamador" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido.restaurada" "Virues_Marcela" "Virues_Semirámis" "Virues_Tirano"
"Argensola_Alejandra" 0 0.952950360025561 1.07876572762333 1.03434127381973 1.06946040526266 1.07924396247729 1.07552579766526 1.12705369088958 1.06794993420184 1.0788423875901 1.07746955528228 1.07972011197377 1.0890956459314 1.063655221452 1.06272845483809 1.01687314302824 1.01981836920735
"Argensola_Isabela" 0.952950360025561 0 1.03593771680247 1.01414559492212 1.0450763342675 1.06010421505622 1.05910164272802 1.1026195967464 1.02927100409955 1.07879542606026 1.07784852706248 1.10438340064966 1.11111339085423 1.09822067800587 1.07226400041492 1.02211201207616 1.09438649970346
"Artieda_Amantes" 1.07876572762333 1.03593771680247 0 1.07811867651875 1.11122266060418 1.04111380023497 1.05498299332293 1.00269846534293 1.092147735001 1.07656371242504 1.10542894193917 1.08347650614174 1.08591302007089 1.06844812101368 1.05193859398329 1.08488471579541 1.0550158879581
"Bermudez_Lastimosa" 1.03434127381973 1.01414559492212 1.07811867651875 0 0.847817086220641 1.07381068300508 1.07212792461662 1.10181821397147 1.09241456989169 1.09621361351767 1.09708618626649 1.11937531100348 1.10576806574805 1.10211935093743 1.07590877823976 1.06759276398546 1.05537368139415
"Bermudez_Laureada" 1.06946040526266 1.0450763342675 1.11122266060418 0.847817086220641 0 1.07306830150756 1.07018045788088 1.06871563171401 1.08607132684244 1.11822487222598 1.07723747014711 1.09299695697663 1.0692629081886 1.09811427064685 1.09737803041459 1.03656934821677 1.07442407434946
"Cervantes_CasaCelos" 1.07924396247729 1.06010421505622 1.04111380023497 1.07381068300508 1.07306830150756 0 1.00327703792292 0.924844940054952 0.959075769224375 1.06309770107822 1.12925841696471 1.10505398461342 1.13607323448847 1.07928571454199 1.03336120528089 1.10052390846961 1.07298099501393
"Cervantes_Tratos" 1.07552579766526 1.05910164272802 1.05498299332293 1.07212792461662 1.07018045788088 1.00327703792292 0 0.9542735143286 0.959712735637601 1.07262014606017 1.11758718846728 1.10148853773354 1.07935465816174 1.05748768809187 1.05663572586068 1.09473937110752 1.06406991158291
"Cervantes_Urdemalas" 1.12705369088958 1.1026195967464 1.00269846534293 1.10181821397147 1.06871563171401 0.924844940054952 0.9542735143286 0 1.01275980647299 1.07794920447554 1.12048203052723 1.12611164227814 1.08059634655212 1.02834266110366 1.05934733185214 1.07016590689462 1.08423090157216
"Duda_Jerusalem" 1.06794993420184 1.02927100409955 1.092147735001 1.09241456989169 1.08607132684244 0.959075769224375 0.959712735637601 1.01275980647299 0 1.06497740972722 1.11450170649079 1.05625484146244 1.09129775704428 1.07546737648746 1.05007576073513 1.05763422361485 1.07766376358308
"JCueva_Infamador" 1.0788423875901 1.07879542606026 1.07656371242504 1.09621361351767 1.11822487222598 1.06309770107822 1.07262014606017 1.07794920447554 1.06497740972722 0 0.956441750674943 0.95084962307607 1.07289463068337 1.05455331189772 1.05123733893512 1.09832903564901 1.0722150894155
"JCueva_Principe" 1.07746955528228 1.07784852706248 1.10542894193917 1.09708618626649 1.07723747014711 1.12925841696471 1.11758718846728 1.12048203052723 1.11450170649079 0.956441750674943 0 0.963547128674194 0.936683489305351 1.06901656834719 1.10124980370513 1.08000444822066 1.10004496582805
"JCueva_Saco" 1.07972011197377 1.10438340064966 1.08347650614174 1.11937531100348 1.09299695697663 1.10505398461342 1.10148853773354 1.12611164227814 1.05625484146244 0.95084962307607 0.963547128674194 0 1.01125367776496 1.05050560413063 1.08016529967557 1.09975651077845 1.0842832216918
"Lasso_Constantinopla" 1.0890956459314 1.11111339085423 1.08591302007089 1.10576806574805 1.0692629081886 1.13607323448847 1.07935465816174 1.08059634655212 1.09129775704428 1.07289463068337 0.936683489305351 1.01125367776496 0 0.962289002091269 1.09016082274379 1.077621495157 1.08443238059168
"Lasso_Dido.restaurada" 1.063655221452 1.09822067800587 1.06844812101368 1.10211935093743 1.09811427064685 1.07928571454199 1.05748768809187 1.02834266110366 1.07546737648746 1.05455331189772 1.06901656834719 1.05050560413063 0.962289002091269 0 1.0612163212237 1.09344354945848 1.07678581040805
"Virues_Marcela" 1.06272845483809 1.07226400041492 1.05193859398329 1.07590877823976 1.09737803041459 1.03336120528089 1.05663572586068 1.05934733185214 1.05007576073513 1.05123733893512 1.10124980370513 1.08016529967557 1.09016082274379 1.0612163212237 0 0.987362055436425 1.01226367465436
"Virues_Semirámis" 1.01687314302824 1.02211201207616 1.08488471579541 1.06759276398546 1.03656934821677 1.10052390846961 1.09473937110752 1.07016590689462 1.05763422361485 1.09832903564901 1.08000444822066 1.09975651077845 1.077621495157 1.09344354945848 0.987362055436425 0 0.93116423248131
"Virues_Tirano" 1.01981836920735 1.09438649970346 1.0550158879581 1.05537368139415 1.07442407434946 1.07298099501393 1.06406991158291 1.08423090157216 1.07766376358308 1.0722150894155 1.10004496582805 1.0842832216918 1.08443238059168 1.07678581040805 1.01226367465436 0.93116423248131 0
