,Source,Target,Weight,Type
1,Valle_Baza-ne0036,Valle_Corte-ne0033,4,undirected
2,Valle_Baza-ne0036,Valle_TiranoBanderas-ne0030,3,undirected
3,Valle_Baza-ne0036,Valle_Viva-ne0035,5,undirected
4,Valle_Corte-ne0033,Valle_Baza-ne0036,4,undirected
5,Valle_Corte-ne0033,Valle_TiranoBanderas-ne0030,2,undirected
6,Valle_Corte-ne0033,Valle_Viva-ne0035,6,undirected
7,Valle_CruzadosCausa-ne0020,Valle_FlordeSantidad-ne0017,3,undirected
8,Valle_CruzadosCausa-ne0020,Valle_GerifaltesAntano-ne0022,3,undirected
9,Valle_CruzadosCausa-ne0020,Valle_ResplandorHoguera-ne0021,5,undirected
10,Valle_FlordeSantidad-ne0017,Valle_CruzadosCausa-ne0020,3,undirected
11,Valle_FlordeSantidad-ne0017,Valle_MediaNoche-ne0037,5,undirected
12,Valle_FlordeSantidad-ne0017,Valle_ResplandorHoguera-ne0021,1,undirected
13,Valle_FlordeSantidad-ne0017,Valle_SonataOtono-ne0013,4,undirected
14,Valle_GerifaltesAntano-ne0022,Valle_CruzadosCausa-ne0020,3,undirected
15,Valle_GerifaltesAntano-ne0022,Valle_ResplandorHoguera-ne0021,6,undirected
16,Valle_GerifaltesAntano-ne0022,Valle_SonataInvierno-ne0016,1,undirected
17,Valle_MediaNoche-ne0037,Valle_FlordeSantidad-ne0017,5,undirected
18,Valle_MediaNoche-ne0037,Valle_ResplandorHoguera-ne0021,2,undirected
19,Valle_MediaNoche-ne0037,Valle_SonataEstio-ne0014,1,undirected
20,Valle_ResplandorHoguera-ne0021,Valle_CruzadosCausa-ne0020,5,undirected
21,Valle_ResplandorHoguera-ne0021,Valle_FlordeSantidad-ne0017,1,undirected
22,Valle_ResplandorHoguera-ne0021,Valle_GerifaltesAntano-ne0022,6,undirected
23,Valle_ResplandorHoguera-ne0021,Valle_MediaNoche-ne0037,2,undirected
24,Valle_SonataEstio-ne0014,Valle_MediaNoche-ne0037,1,undirected
25,Valle_SonataEstio-ne0014,Valle_SonataInvierno-ne0016,2,undirected
26,Valle_SonataEstio-ne0014,Valle_SonataOtono-ne0013,4,undirected
27,Valle_SonataEstio-ne0014,Valle_SonataPrimavera-ne0015,5,undirected
28,Valle_SonataInvierno-ne0016,Valle_GerifaltesAntano-ne0022,1,undirected
29,Valle_SonataInvierno-ne0016,Valle_SonataEstio-ne0014,2,undirected
30,Valle_SonataInvierno-ne0016,Valle_SonataOtono-ne0013,2,undirected
31,Valle_SonataInvierno-ne0016,Valle_SonataPrimavera-ne0015,4,undirected
32,Valle_SonataOtono-ne0013,Valle_FlordeSantidad-ne0017,4,undirected
33,Valle_SonataOtono-ne0013,Valle_SonataEstio-ne0014,4,undirected
34,Valle_SonataOtono-ne0013,Valle_SonataInvierno-ne0016,2,undirected
35,Valle_SonataOtono-ne0013,Valle_SonataPrimavera-ne0015,6,undirected
36,Valle_SonataPrimavera-ne0015,Valle_SonataEstio-ne0014,5,undirected
37,Valle_SonataPrimavera-ne0015,Valle_SonataInvierno-ne0016,4,undirected
38,Valle_SonataPrimavera-ne0015,Valle_SonataOtono-ne0013,6,undirected
39,Valle_TiranoBanderas-ne0030,Valle_Baza-ne0036,3,undirected
40,Valle_TiranoBanderas-ne0030,Valle_Corte-ne0033,2,undirected
41,Valle_TiranoBanderas-ne0030,Valle_Viva-ne0035,4,undirected
42,Valle_Viva-ne0035,Valle_Baza-ne0036,5,undirected
43,Valle_Viva-ne0035,Valle_Corte-ne0033,6,undirected
44,Valle_Viva-ne0035,Valle_TiranoBanderas-ne0030,4,undirected
