"ne0013" "ne0014" "ne0015" "ne0016" "ne0017" "ne0020" "ne0021" "ne0022" "ne0030" "ne0033" "ne0035" "ne0036" "ne0037"
"ne0013" 0 0.940162184831529 0.876094545483665 0.966607453587707 0.955438597136739 1.02879677902346 1.0710994787692 1.06025011646136 1.22579335111724 1.2326436965167 1.26899945511431 1.2410833112617 1.1035120966775
"ne0014" 0.940162184831529 0 0.914522484926293 0.974480788146785 1.00899930663374 1.07586564339881 1.09928213743655 1.1307835124755 1.14169931151651 1.2165604068981 1.2186553345572 1.17441184894085 1.05442214618944
"ne0015" 0.876094545483665 0.914522484926293 0 0.919313996028631 1.00254577588413 1.07458574725614 1.11861964261283 1.08954428366007 1.19438918938186 1.22972135557328 1.24520743527557 1.238653849172 1.11189676895743
"ne0016" 0.966607453587707 0.974480788146785 0.919313996028631 0 1.11241156824122 1.05659877720084 1.07000428194593 1.03262602473573 1.18365071867297 1.13316727811436 1.17968799538824 1.15825067425739 1.14087806699045
"ne0017" 0.955438597136739 1.00899930663374 1.00254577588413 1.11241156824122 0 0.989014428218635 0.995320188005001 1.07650970920358 1.19125894192061 1.22442835378869 1.25510553970093 1.25119874869613 0.975559742359715
"ne0020" 1.02879677902346 1.07586564339881 1.07458574725614 1.05659877720084 0.989014428218635 0 0.964976571916678 1.01499204475681 1.14665495299513 1.14164197854729 1.15984652292046 1.16340059342166 1.09343254333251
"ne0021" 1.0710994787692 1.09928213743655 1.11861964261283 1.07000428194593 0.995320188005001 0.964976571916678 0 0.876588145405451 1.15733833126189 1.14860152519826 1.18472827214459 1.16482011833335 1.04902967650271
"ne0022" 1.06025011646136 1.1307835124755 1.08954428366007 1.03262602473573 1.07650970920358 1.01499204475681 0.876588145405451 0 1.11090675653526 1.13305503079918 1.147282607476 1.14003231803673 1.0787280697081
"ne0030" 1.22579335111724 1.14169931151651 1.19438918938186 1.18365071867297 1.19125894192061 1.14665495299513 1.15733833126189 1.11090675653526 0 0.891468546960989 0.857887255647368 0.862718298170978 1.08357949733716
"ne0033" 1.2326436965167 1.2165604068981 1.22972135557328 1.13316727811436 1.22442835378869 1.14164197854729 1.14860152519826 1.13305503079918 0.891468546960989 0 0.630792339879988 0.828556199286236 1.18084932032499
"ne0035" 1.26899945511431 1.2186553345572 1.24520743527557 1.17968799538824 1.25510553970093 1.15984652292046 1.18472827214459 1.147282607476 0.857887255647368 0.630792339879988 0 0.712257535253499 1.17057252728793
"ne0036" 1.2410833112617 1.17441184894085 1.238653849172 1.15825067425739 1.25119874869613 1.16340059342166 1.16482011833335 1.14003231803673 0.862718298170978 0.828556199286236 0.712257535253499 0 1.14108590918366
"ne0037" 1.1035120966775 1.05442214618944 1.11189676895743 1.14087806699045 0.975559742359715 1.09343254333251 1.04902967650271 1.0787280697081 1.08357949733716 1.18084932032499 1.17057252728793 1.14108590918366 0
