,Source,Target,Weight,Type
1,ne0013,ne0014,4,undirected
2,ne0013,ne0015,6,undirected
3,ne0013,ne0016,2,undirected
4,ne0013,ne0017,4,undirected
5,ne0014,ne0013,4,undirected
6,ne0014,ne0015,5,undirected
7,ne0014,ne0016,2,undirected
8,ne0014,ne0037,1,undirected
9,ne0015,ne0013,6,undirected
10,ne0015,ne0014,5,undirected
11,ne0015,ne0016,4,undirected
12,ne0016,ne0013,2,undirected
13,ne0016,ne0014,2,undirected
14,ne0016,ne0015,4,undirected
15,ne0016,ne0022,1,undirected
16,ne0017,ne0013,4,undirected
17,ne0017,ne0020,3,undirected
18,ne0017,ne0021,1,undirected
19,ne0017,ne0037,5,undirected
20,ne0020,ne0017,3,undirected
21,ne0020,ne0021,5,undirected
22,ne0020,ne0022,3,undirected
23,ne0021,ne0017,1,undirected
24,ne0021,ne0020,5,undirected
25,ne0021,ne0022,6,undirected
26,ne0021,ne0037,2,undirected
27,ne0022,ne0016,1,undirected
28,ne0022,ne0020,3,undirected
29,ne0022,ne0021,6,undirected
30,ne0030,ne0033,2,undirected
31,ne0030,ne0035,4,undirected
32,ne0030,ne0036,3,undirected
33,ne0033,ne0030,2,undirected
34,ne0033,ne0035,6,undirected
35,ne0033,ne0036,4,undirected
36,ne0035,ne0030,4,undirected
37,ne0035,ne0033,6,undirected
38,ne0035,ne0036,5,undirected
39,ne0036,ne0030,3,undirected
40,ne0036,ne0033,4,undirected
41,ne0036,ne0035,5,undirected
42,ne0037,ne0014,1,undirected
43,ne0037,ne0017,5,undirected
44,ne0037,ne0021,2,undirected
