"Bazan_Pazos-ne0077" "Bazan_Piedra-ne0082" "Bazan_Sirena-ne0085" "BlascoIbanez_Arroz-ne0163" "BlascoIbanez_Barraca-ne0164" "BlascoIbanez_Bodega-ne0019" "Clarin_Cuesta-ne0170" "Clarin_Hijo-ne0135" "Clarin_Regenta-ne0325" "Galdos_Bringas-ne0027" "Galdos_Misericordia-ne0002" "Galdos_Tristana-ne0005" "Miro_Amigo-ne0044" "Miro_Hilvan-ne0041" "Miro_Vivir-ne0042" "Pereda_Pedro-ne0144" "Pereda_Penas-ne0145" "Pereda_Sotileza-ne0146" "Picon_Dulce-ne0155" "Picon_JuanV-ne0162" "Picon_Lazaro-ne0161" "Valera_Genio-ne0151" "Valera_Juanita-ne0152" "Valera_Morsamor-ne0153"
"Bazan_Pazos-ne0077" 0 1888.52453938213 2133.6560362422 2261.44950520853 2485.51747158099 2292.54676926711 2833.75100120955 2255.72277890164 2107.90310581894 2165.84687007649 2096.96598622084 2308.9573387838 2833.99041405093 2424.71064503924 2692.63404416738 2129.73833924941 2052.47419554034 2097.0210963576 2181.17308130419 2537.51795699533 2568.95262814651 2467.28403037148 2152.52163197397 2373.08827124987
"Bazan_Piedra-ne0082" 1888.52453938213 0 2101.68616259061 2413.22924562903 2618.03042420347 2411.14217869691 2788.71842167237 2371.09663373709 2301.66541363169 2303.48344704281 2197.28986370801 2303.04423327554 2787.84858862778 2433.74605408608 2714.38980363179 2208.20125209314 2213.70758970842 2159.67296390793 2274.3225676877 2560.37089439753 2618.89867951367 2504.64914042824 2284.56459327966 2391.2577750167
"Bazan_Sirena-ne0085" 2133.6560362422 2101.68616259061 0 2574.08006206492 2869.26935711486 2603.61175164001 2694.8682498075 2494.74968259797 2469.05959245644 2422.72741762924 2354.06344099249 2322.56291581239 2708.05984715345 2489.5929785808 2842.19543054441 2324.40644310838 2349.66222330172 2439.83346413001 2333.24641817577 2699.57549239465 2661.34795676042 2502.91665372986 2430.75787330847 2510.8217978045
"BlascoIbanez_Arroz-ne0163" 2261.44950520853 2413.22924562903 2574.08006206492 0 2140.16834328975 1923.19745338815 2955.40675946642 2380.71707641005 2307.24066301249 2367.14617448707 2427.34542093184 2554.2536748215 3018.81102520022 2610.97142428179 2848.75845095005 2364.02015889011 2376.7732234438 2445.42452554707 2445.48572854262 2597.5349448204 2617.38027964629 2644.51589504113 2452.85491428217 2589.97729304563
"BlascoIbanez_Barraca-ne0164" 2485.51747158099 2618.03042420347 2869.26935711486 2140.16834328975 0 2087.08149206489 3183.52313148416 2753.83804495059 2679.9233289152 2780.07476733185 2756.08396752969 2951.06046170768 3025.31839578913 2761.46587623177 2778.45840158105 2728.93672323872 2569.96818065019 2670.96694691072 2870.44901340408 2991.17054879616 2845.06318922596 2963.66483792198 2751.053180717 2785.14799535908
"BlascoIbanez_Bodega-ne0019" 2292.54676926711 2411.14217869691 2603.61175164001 1923.19745338815 2087.08149206489 0 2951.36276889862 2460.7589144934 2381.05699377247 2545.8382722729 2474.67162110237 2628.54059298382 2856.66829902116 2602.2957004681 2761.89870265835 2399.08718540038 2362.92021924638 2485.37904678923 2590.44813692537 2714.08547582991 2660.19858695672 2677.05681557878 2477.59782043282 2500.9636168654
"Clarin_Cuesta-ne0170" 2833.75100120955 2788.71842167237 2694.8682498075 2955.40675946642 3183.52313148416 2951.36276889862 0 2599.74087450669 2704.23150165912 2874.87633771296 2891.23064260242 2760.62201010382 2972.36855263898 2976.24035434205 3116.69135924672 2709.55644601378 2700.67060697777 2898.48642580995 2911.20959301327 3001.13499779588 2979.38687877344 2779.59521188934 2799.18864940325 2840.85388804795
"Clarin_Hijo-ne0135" 2255.72277890164 2371.09663373709 2494.74968259797 2380.71707641005 2753.83804495059 2460.7589144934 2599.74087450669 0 1752.05459720302 2291.41560913814 2402.1424843988 2367.03440196652 3057.70999631864 2742.31739417815 3046.43437998493 2247.9742303539 2264.81361764493 2397.83970334663 2282.92391376896 2548.35246150296 2607.61816902528 2384.86775293771 2252.73379430017 2451.05030072217
"Clarin_Regenta-ne0325" 2107.90310581894 2301.66541363169 2469.05959245644 2307.24066301249 2679.9233289152 2381.05699377247 2704.23150165912 1752.05459720302 0 2287.29480950253 2349.42918621199 2432.88601245562 3000.32443145202 2598.369991705 2944.26494122886 2241.95866618351 2283.56718031792 2366.99420906084 2309.46780442738 2633.95913792744 2607.33619665727 2513.08616155943 2264.57673914886 2522.37929305861
"Galdos_Bringas-ne0027" 2165.84687007649 2303.48344704281 2422.72741762924 2367.14617448707 2780.07476733185 2545.8382722729 2874.87633771296 2291.41560913814 2287.29480950253 0 1910.38018210361 2113.92769753532 2971.88845567685 2692.62471460901 2979.82292472171 2150.50474556841 2142.76952900388 2224.92653672225 2263.3625069138 2505.71820037678 2689.51710849757 2457.25340116767 2186.79901969185 2516.54598429605
"Galdos_Misericordia-ne0002" 2096.96598622084 2197.28986370801 2354.06344099249 2427.34542093184 2756.08396752969 2474.67162110237 2891.23064260242 2402.1424843988 2349.42918621199 1910.38018210361 0 1989.46889583105 2836.82160317018 2555.91267822385 2872.58341518541 2206.61331498082 2143.87794623602 2118.25624009072 2128.50632068849 2547.42676038962 2800.37706868903 2528.34921850191 2184.95791856433 2497.19415074017
"Galdos_Tristana-ne0005" 2308.9573387838 2303.04423327554 2322.56291581239 2554.2536748215 2951.06046170768 2628.54059298382 2760.62201010382 2367.03440196652 2432.88601245562 2113.92769753532 1989.46889583105 0 2794.59174588323 2644.86216165657 3027.09520307171 2266.90925187506 2308.8112013885 2342.65521451549 2225.31170118974 2566.15794075154 2714.2275471459 2368.03933904802 2272.1833038994 2517.3506451035
"Miro_Amigo-ne0044" 2833.99041405093 2787.84858862778 2708.05984715345 3018.81102520022 3025.31839578913 2856.66829902116 2972.36855263898 3057.70999631864 3000.32443145202 2971.88845567685 2836.82160317018 2794.59174588323 0 2539.23477131819 2441.62694684211 2857.47211231025 2802.03745369635 2875.71050143238 2871.77946021529 3092.67990745428 3160.38190598583 2985.32969477622 2945.38828446201 2941.36208730665
"Miro_Hilvan-ne0041" 2424.71064503924 2433.74605408608 2489.5929785808 2610.97142428179 2761.46587623177 2602.2957004681 2976.24035434205 2742.31739417815 2598.369991705 2692.62471460901 2555.91267822385 2644.86216165657 2539.23477131819 0 2305.98265575912 2540.7645366585 2472.89220939593 2533.06743791834 2597.10582786377 2768.610223807 2697.99657448588 2746.14271695669 2586.10517442291 2618.44535597787
"Miro_Vivir-ne0042" 2692.63404416738 2714.38980363179 2842.19543054441 2848.75845095005 2778.45840158105 2761.89870265835 3116.69135924672 3046.43437998493 2944.26494122886 2979.82292472171 2872.58341518541 3027.09520307171 2441.62694684211 2305.98265575912 0 2869.55191065287 2747.67488157559 2786.22829361636 2945.63482398906 3037.24501215544 2995.16530393833 3048.04359342288 2890.88818554962 2877.5016401498
"Pereda_Pedro-ne0144" 2129.73833924941 2208.20125209314 2324.40644310838 2364.02015889011 2728.93672323872 2399.08718540038 2709.55644601378 2247.9742303539 2241.95866618351 2150.50474556841 2206.61331498082 2266.90925187506 2857.47211231025 2540.7645366585 2869.55191065287 0 1565.28858072801 1771.10904551368 2267.93275976662 2450.92335083704 2543.57865610062 2269.99991185823 2180.77946829544 2251.37181789388
"Pereda_Penas-ne0145" 2052.47419554034 2213.70758970842 2349.66222330172 2376.7732234438 2569.96818065019 2362.92021924638 2700.67060697777 2264.81361764493 2283.56718031792 2142.76952900388 2143.87794623602 2308.8112013885 2802.03745369635 2472.89220939593 2747.67488157559 1565.28858072801 0 1718.01817337232 2328.48917821615 2577.14071765001 2586.26065299658 2379.81412189081 2213.37514953952 2313.39777688752
"Pereda_Sotileza-ne0146" 2097.0210963576 2159.67296390793 2439.83346413001 2445.42452554707 2670.96694691072 2485.37904678923 2898.48642580995 2397.83970334663 2366.99420906084 2224.92653672225 2118.25624009072 2342.65521451549 2875.71050143238 2533.06743791834 2786.22829361636 1771.10904551368 1718.01817337232 0 2219.18392811407 2563.2670713726 2738.76959153183 2592.74494315198 2239.82475517707 2471.40072429133
"Picon_Dulce-ne0155" 2181.17308130419 2274.3225676877 2333.24641817577 2445.48572854262 2870.44901340408 2590.44813692537 2911.20959301327 2282.92391376896 2309.46780442738 2263.3625069138 2128.50632068849 2225.31170118974 2871.77946021529 2597.10582786377 2945.63482398906 2267.93275976662 2328.48917821615 2219.18392811407 0 2194.09004221442 2543.32620302206 2445.58275991104 2214.08212840585 2506.28975725852
"Picon_JuanV-ne0162" 2537.51795699533 2560.37089439753 2699.57549239465 2597.5349448204 2991.17054879616 2714.08547582991 3001.13499779588 2548.35246150296 2633.95913792744 2505.71820037678 2547.42676038962 2566.15794075154 3092.67990745428 2768.610223807 3037.24501215544 2450.92335083704 2577.14071765001 2563.2670713726 2194.09004221442 0 2589.0830545623 2643.47257255979 2515.87904673047 2730.50826441909
"Picon_Lazaro-ne0161" 2568.95262814651 2618.89867951367 2661.34795676042 2617.38027964629 2845.06318922596 2660.19858695672 2979.38687877344 2607.61816902528 2607.33619665727 2689.51710849757 2800.37706868903 2714.2275471459 3160.38190598583 2697.99657448588 2995.16530393833 2543.57865610062 2586.26065299658 2738.76959153183 2543.32620302206 2589.0830545623 0 2596.71164923008 2580.54686784037 2532.24523450165
"Valera_Genio-ne0151" 2467.28403037148 2504.64914042824 2502.91665372986 2644.51589504113 2963.66483792198 2677.05681557878 2779.59521188934 2384.86775293771 2513.08616155943 2457.25340116767 2528.34921850191 2368.03933904802 2985.32969477622 2746.14271695669 3048.04359342288 2269.99991185823 2379.81412189081 2592.74494315198 2445.58275991104 2643.47257255979 2596.71164923008 0 1917.76386836797 1903.9762707396
"Valera_Juanita-ne0152" 2152.52163197397 2284.56459327966 2430.75787330847 2452.85491428217 2751.053180717 2477.59782043282 2799.18864940325 2252.73379430017 2264.57673914886 2186.79901969185 2184.95791856433 2272.1833038994 2945.38828446201 2586.10517442291 2890.88818554962 2180.77946829544 2213.37514953952 2239.82475517707 2214.08212840585 2515.87904673047 2580.54686784037 1917.76386836797 0 2020.30412203208
"Valera_Morsamor-ne0153" 2373.08827124987 2391.2577750167 2510.8217978045 2589.97729304563 2785.14799535908 2500.9636168654 2840.85388804795 2451.05030072217 2522.37929305861 2516.54598429605 2497.19415074017 2517.3506451035 2941.36208730665 2618.44535597787 2877.5016401498 2251.37181789388 2313.39777688752 2471.40072429133 2506.28975725852 2730.50826441909 2532.24523450165 1903.9762707396 2020.30412203208 0
