"Bazan_Pazos-ne0077" "Bazan_Piedra-ne0082" "Bazan_Sirena-ne0085" "BlascoIbanez_Arroz-ne0163" "BlascoIbanez_Barraca-ne0164" "BlascoIbanez_Bodega-ne0019" "Clarin_Cuesta-ne0170" "Clarin_Hijo-ne0135" "Clarin_Regenta-ne0325" "Galdos_Bringas-ne0027" "Galdos_Misericordia-ne0002" "Galdos_Tristana-ne0005" "Miro_Amigo-ne0044" "Miro_Hilvan-ne0041" "Miro_Vivir-ne0042" "Pereda_Pedro-ne0144" "Pereda_Penas-ne0145" "Pereda_Sotileza-ne0146" "Picon_Dulce-ne0155" "Picon_JuanV-ne0162" "Picon_Lazaro-ne0161" "Valera_Genio-ne0151" "Valera_Juanita-ne0152" "Valera_Morsamor-ne0153"
"de" 5.52536340073815 5.36346835053134 5.76451045049959 5.89386211748153 5.82507719411241 6.21186246017717 6.08074974118673 5.75467896480702 5.35762465369404 5.77426718765318 5.08721277052662 5.08132403915743 5.32977006857604 5.0189423588716 5.20278751677271 6.28630648812284 6.32432793801951 5.89576918690843 4.96469103164112 5.27052387162442 6.20329580682004 5.64103532254715 5.23107613875651 5.88200038358266
"y" 3.41244341459336 3.56922839981519 3.24300200828106 3.45695568061906 3.12186250923488 2.77935903965805 3.26922029096061 3.43870332228889 3.02544731871993 3.07690153074801 3.74263284735976 3.57863863177542 5.40036304961678 4.23306928833088 4.28515777171796 4.12814428959737 4.45614790934684 3.87992666473679 3.31892393983781 2.76408282706193 3.17506934247022 5.20870697955408 5.03989803834645 5.44088032220944
"la" 3.96904076538108 4.12174649622671 3.74135323432425 4.07580021104467 4.29634961829169 4.18651566447953 3.15479758077698 3.3670636697412 3.70851731694316 3.61469406047365 3.67462836144981 3.06250714204091 3.28257361839451 3.59122076458249 3.64887676925075 3.27269752093163 3.59893926000758 3.90010263427985 3.24747240184345 3.41931995292471 4.40202316854299 2.83750873152221 3.12673168569212 3.21490218642117
"que" 2.90720590518734 3.45371939011243 3.22564649294622 2.96341892367218 2.67858834226828 3.21978208546804 4.05928186127609 3.47340377899167 3.19753094543995 3.46203941010882 3.87386957455439 3.84717936997676 1.95643404598628 2.53921537931682 2.32870190018612 3.49633185152862 3.63533720092406 3.6036036036036 3.7142891167399 3.55927351378861 3.36433349649209 3.6889501406483 3.86373711625845 3.43426352128884
"el" 3.01828649236172 2.88580009240721 2.60580665955917 2.56441259233204 2.86044441076739 2.89021381989594 1.95063477360649 2.31037879466285 2.67075104796625 2.0755430444099 1.94468968479324 1.87216699043919 1.88079870915692 3.01512257741319 3.17707657014241 2.29361551258625 2.2551867065806 2.25181364421871 2.18046276779441 2.28060688953211 2.76717245880241 2.30512186373162 2.05724260223872 2.537639048715
"en" 2.28730456385939 2.08108732481134 2.20662980685791 2.29401160745691 2.21826516887988 2.2031139207638 2.33749250803683 2.37418286021313 2.29993221945104 2.166575634077 2.2143215061204 2.01119872014627 1.83037515127067 1.93493847647077 1.9694411981128 2.57179480186544 2.57311157825929 2.40708088809355 2.25191430578877 2.10884570119915 2.50285527818567 2.67892540920161 2.23456721711183 2.63473341004987
"a" 2.5488814304313 2.58740181734175 2.27605186819726 2.25444073162153 0.0776676959214988 2.34492814413119 2.56633792840408 2.62380227455897 2.44371911214062 2.21699368373878 2.2942566035935 1.94263512741401 1.51270673658733 1.85979523466608 1.51062632558542 2.4199780002 2.31832599184389 2.54129494635824 2.36028247174687 2.795890454531 2.14064284548866 2.32966452075742 2.53241715615649 2.19960682777138
"no" 1.44046438851928 1.46311412290159 1.64133587880892 0.954097784030953 0.829718312527231 0.936772827595849 1.6182640440255 1.59062416047282 1.57441712018215 1.74922622298783 1.8373141807249 2.27783491410505 1.77995159338443 1.05513635367419 1.09076743280093 1.27271570258452 1.15953440348232 1.39828241094064 1.45999309301799 1.30411272623175 0.776635666503508 1.40081934716532 1.59592153385792 1.16033755274262
"los" 1.30549550302784 1.07615894039735 1.04133092009025 1.7993756595146 1.99094508325598 2.28400794958604 1.10608619844167 1.26824572400824 1.30197879719138 1.21143369326219 1.06063136796392 0.984649373404944 1.03872529245664 1.23360155296033 1.30718954248366 1.43089608276288 1.4373472586408 1.30266585962788 0.852655020065974 1.2786666242565 1.7980094632077 1.0364552851668 1.02792862684251 1.49597238204833
"se" 1.56110029502048 1.2975512089943 1.37852378945281 0.933213155117833 1.14417776430696 1.04263414926446 1.05704789407726 1.47868720336706 1.55039779943538 1.42851140708374 1.41854971485838 1.17700834190378 1.28580072609923 1.21481574250916 1.61450893823313 1.0408996281852 1.06222562266478 1.33424563804311 1.37186952949162 1.15779763987404 1.13558492413118 1.11008325624422 1.50864457497506 1.24784234752589
