"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"226CFXQH","journalArticle","1995","Laan, Nany M.","Stylometry and Method. The Case of Euripides","Literary and Linguistic Computing","","","","","","1995","2016-08-16 19:58:11","2017-01-09 08:41:08","","271-278","","4","10","","","","","","","","","","","","","","","","","---. Stylometry and Method. The Case of Euripides. Literary and Linguistic Computing 10.4 1995: 271-278.  bibtex: laan_stylometry_1995","","","","#jr4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"226SPAQA","journalArticle","2001","Arasu, Arvind; Cho, Junghoo; Garcia-Molina, Hector; Paepcke, Andreas; Raghavan, Sriram","Searching the Web","j","","","","","","2001-08","2016-08-16 16:43:38","2016-08-16 16:43:38","","2–43","","1","1","","","","","","","","","","","","","","","","","bibtex: arasu_searching_2001","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22AANTRQ","journalArticle","1979","Green, T. R. G.","The Necessity of Syntax Markers: Two Experiments with Artificial Languages","Journal of Verbal Learning and Verbal Behavior","","","","","","1979","2016-08-16 16:43:38","2017-01-04 15:30:16","","481-96","","4","18","","","","","","","","","","","","","","","","","bibtex: green_necessity_1979","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22KRRN8K","journalArticle","1980","Lafon, Pierre","Sur la variabilité de la fréquence des formes dans un corpus","Mots","","0243-6450","10.3406/mots.1980.1008","http://www.persee.fr/web/revues/home/prescript/article/mots_0243-6450_1980_num_1_1_1008","","1980","2017-01-03 10:15:04","2017-01-03 10:15:04","","127-165","","1","1","","mots","","","","","","","","","","","","","","","bibtex: lafon_sur_1980","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22UJ9A42","journalArticle","2007","Kim, Yunhyong; Ross, Seamus","`The Naming of Cats': Automated Genre Classification","The International Journal of Digital Curation","","","","","","2007","2016-08-16 19:58:11","2017-01-09 08:41:08","","49-61","","2","1","","","","","","","","","","","","","","","","","Kim, Yunhyong, and Seamus Ross. `The Naming of Cats': Automated Genre Classification. The International Journal of Digital Curation 1.2 2007: 49-61.  bibtex: kim_`naming_2007","","","","#jr4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23ACZPEH","journalArticle","1964","Ohman, Richard M.","Generative Grammars and the Concept of Literary Style","Word","","","","","","1964","2016-08-16 19:58:11","2017-01-07 20:40:13","","423-439","","3","20","","","","","","","","","","","","","","","","","Ohman, Richard M. Generative Grammars and the Concept of Literary Style. Word 20 1964: 423-439.  bibtex: ohman_generative_1964","","","","#jr4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23NZHIVU","book","2010","Clinton, Hilary","Remarks on Internet Freedom","","","","","http://www.state.gov/secretary/rm/2010/01/135519.htm","","2010-01-21","2016-08-16 16:43:38","2016-08-16 16:43:38","","","","","","","","","","","","","","The Newseum, Washington, DC","","","","","","","","bibtex: clinton_remarks_2010","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23U8A9KK","conferencePaper","1994","Holmes, Geoffrey; Donkin, Andrew; Witten, Ian H.","Weka: A Machine Learning Workbench","b","0-7803-2404-8","","","","","1994-11","2016-08-16 16:43:38","2016-08-16 16:43:38","","357–361","","","","","","","","","","","p","Brisbane, Australia","","","","","","","","bibtex: holmes_weka:_1994","","","","#pj","","Sitte, Joaquin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"246AUZ5J","conferencePaper","2002","Bahle, Dirk; Williams, Hugh E.; Zobel, Justin","Efficient Phrase Querying with an Auxiliary Index","Proceeding SIGIR '02 Proceedings of the 25th annual international ACM SIGIR conference on Research and development in information retrieval, (Tampere, Finland)","1-58113-561-0","","","http://dl.acm.org/citation.cfm?id=564415","","2002-08","2016-08-16 16:43:38","2017-01-16 19:01:10","","215–221","","","","","","","","","","","ACM","New York, NY","","","","","","","","bibtex: bahle_efficient_2002","","","","#pj","","Jarvelin, Kalervo; Beaulieu, Micheline; Baeza-Yates, Ricardo; Myaeng, Sung H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceeding SIGIR '02 Proceedings of the 25th annual international ACM SIGIR conference on Research and development in information retrieval","","","","","","","","","","","","","","",""
"24DP3QZM","book","1991","Kanigel, Robert","The Man Who Knew Infinity: A Life of the Genius Ramanujan","","","","","","","1991","2016-08-16 16:43:38","2016-08-16 16:43:38","","","","","","","","","","","","","Washington Square Press","New York","","","","","","","","bibtex: kanigel_man_1991","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
