	Id	Weight	Label
1712	Juola_P	97	Juola_P
2430	Burrows_J	60	Burrows_J
2310	Craig_H	59	Craig_H
2	Holmes_D	35	Holmes_D
226	Smith_M	35	Smith_M
360	Koppel_M	34	Koppel_M
3003	Kestemont_M	34	Kestemont_M
678	Stamatatos_E	28	Stamatatos_E
2125	Argamon_S	27	Argamon_S
773	Merriam_T	26	Merriam_T
1666	Hoover_D	23	Hoover_D
341	Rudman_J	21	Rudman_J
1108	Palomar_M	21	Palomar_M
3237	Tweedie_F	21	Tweedie_F
1989	Schler_J	20	Schler_J
1951	Morton_A	18	Morton_A
1058	Martínez-Barco_P	18	Martínez-Barco_P
3122	Zobel_J	17	Zobel_J
1278	Pennebaker_J	17	Pennebaker_J
2165	Brainerd_B	17	Brainerd_B
830	Brunet_É	16	Brunet_É
2188	Eder_M	16	Eder_M
1207	Foster_D	16	Foster_D
2684	Chaski_C	15	Chaski_C
1779	Ryan_M	15	Ryan_M
38	Noecker_J	15	Noecker_J
2211	Milic_L	15	Milic_L
955	Greenstadt_R	15	Greenstadt_R
108	Daelemans_W	14	Daelemans_W
2891	Labbé_D	14	Labbé_D
499	Rybicki_J	13	Rybicki_J
3059	Forsyth_R	13	Forsyth_R
1979	Schöch_C	13	Schöch_C
1540	Antonia_A	13	Antonia_A
810	Binongo_J	12	Binongo_J
2542	MacDonell_S	11	MacDonell_S
3191	Brennan_P	11	Brennan_P
2582	Hirst_G	11	Hirst_G
2443	Jannidis_F	11	Jannidis_F
1251	Baayen_H	11	Baayen_H
1097	Ross_D	11	Ross_D
2757	Stein_B	11	Stein_B
2691	Coulthard_M	11	Coulthard_M
224	Chen_H	10	Chen_H
2298	Popescu_M	10	Popescu_M
2117	Biber_D	10	Biber_D
1348	Tarrant_H	10	Tarrant_H
1965	Altmann_G	10	Altmann_G
1312	Mosteller_F	9	Mosteller_F
2956	Moreno_L	9	Moreno_L
238	Matthews_R	9	Matthews_R
2452	Vickers_B	9	Vickers_B
275	Delcourt_C	9	Delcourt_C
2736	Ferrández_A	9	Ferrández_A
2628	Luyckx_K	9	Luyckx_K
3179	Valenza_R	8	Valenza_R
2888	Frantzeskou_G	8	Frantzeskou_G
3121	Akiva_N	8	Akiva_N
2955	Allen_J	8	Allen_J
2529	Labbé_C	8	Labbé_C
946	Ule_L	8	Ule_L
1865	Evert_S	8	Evert_S
1385	Sofko_J	8	Sofko_J
3004	Jockers_M	8	Jockers_M
1323	Gray_A	8	Gray_A
1797	Jackson_M	8	Jackson_M
1374	Dinu_L	8	Dinu_L
3292	Irizarry_E	7	Irizarry_E
3200	Gritzalis_S	7	Gritzalis_S
2783	Sallis_P	7	Sallis_P
2958	Kokkinakis_G	7	Kokkinakis_G
2823	McMenamin_G	7	McMenamin_G
147	Kinney_A	7	Kinney_A
1341	Miranda-García_A	7	Miranda-García_A
1161	Sedelow_S	7	Sedelow_S
2623	Mannion_D	7	Mannion_D
1908	Oakes_M	7	Oakes_M
1449	Corns_T	7	Corns_T
3212	Fakotakis_N	7	Fakotakis_N
2086	Dixon_P	7	Dixon_P
