	Source	Target	Weight	Type
4076	Juola_P	Juola_P	52	Undirected
73	Burrows_J	Burrows_J	36	Undirected
2422	Craig_H	Craig_H	31	Undirected
3358	Smith_M	Smith_M	30	Undirected
442	Rudman_J	Rudman_J	20	Undirected
3651	Hoover_D	Hoover_D	20	Undirected
2993	Merriam_T	Merriam_T	20	Undirected
3278	Koppel_M	Schler_J	18	Undirected
3225	Foster_D	Foster_D	16	Undirected
3533	Milic_L	Milic_L	15	Undirected
833	Holmes_D	Holmes_D	15	Undirected
404	Kestemont_M	Kestemont_M	15	Undirected
4097	Brainerd_B	Brainerd_B	15	Undirected
2828	Brunet_É	Brunet_É	14	Undirected
4180	Argamon_S	Koppel_M	14	Undirected
44	Chaski_C	Chaski_C	12	Undirected
1839	Juola_P	Ryan_M	12	Undirected
3708	Martínez-Barco_P	Palomar_M	12	Undirected
614	Brennan_P	Juola_P	10	Undirected
596	Coulthard_M	Coulthard_M	10	Undirected
2409	Moreno_L	Palomar_M	9	Undirected
3842	Juola_P	Noecker_J	9	Undirected
490	Eder_M	Eder_M	9	Undirected
571	Argamon_S	Schler_J	9	Undirected
4320	Biber_D	Biber_D	8	Undirected
347	Juola_P	Sofko_J	8	Undirected
2291	Vickers_B	Vickers_B	8	Undirected
4225	Gray_A	MacDonell_S	8	Undirected
4585	Delcourt_C	Delcourt_C	8	Undirected
18	Labbé_C	Labbé_D	8	Undirected
3271	Noecker_J	Ryan_M	8	Undirected
3305	Jackson_M	Jackson_M	8	Undirected
3464	Ferrández_A	Palomar_M	8	Undirected
3495	Stamatatos_E	Stamatatos_E	8	Undirected
301	Frantzeskou_G	Gritzalis_S	7	Undirected
3340	Ginebra_J	Riba_A	7	Undirected
2645	Dixon_P	Mannion_D	7	Undirected
3424	Irizarry_E	Irizarry_E	7	Undirected
216	McMenamin_G	McMenamin_G	7	Undirected
4252	Jannidis_F	Schöch_C	7	Undirected
580	Fakotakis_N	Stamatatos_E	7	Undirected
4276	Calle-Martín_J	Miranda-García_A	7	Undirected
705	Eissen_S	Stein_B	7	Undirected
3604	Dinu_L	Popescu_M	7	Undirected
53	Kokkinakis_G	Stamatatos_E	7	Undirected
3361	Fakotakis_N	Kokkinakis_G	7	Undirected
1933	Afroz_S	Greenstadt_R	7	Undirected
2227	Brennan_P	Sofko_J	7	Undirected
3132	Binongo_J	Binongo_J	7	Undirected
3457	Jannidis_F	Vitt_T	6	Undirected
480	Michaelson_S	Morton_A	6	Undirected
3794	Mosteller_F	Wallace_D	6	Undirected
4025	Ule_L	Ule_L	6	Undirected
603	Furbank_P	Owens_W	6	Undirected
2605	Eder_M	Rybicki_J	6	Undirected
2917	Herdan_G	Herdan_G	6	Undirected
3893	Holmes_D	Tweedie_F	6	Undirected
298	Forsyth_R	Forsyth_R	6	Undirected
2377	Schöch_C	Vitt_T	6	Undirected
1439	Pielström_S	Schöch_C	6	Undirected
2901	Pielström_S	Vitt_T	6	Undirected
1904	Jannidis_F	Pielström_S	6	Undirected
4256	Fucks_W	Fucks_W	6	Undirected
1404	Gray_A	Sallis_P	6	Undirected
4406	MacDonell_S	Sallis_P	6	Undirected
254	Ferrández_A	Moreno_L	6	Undirected
695	Forsyth_R	Holmes_D	6	Undirected
2268	Daelemans_W	Luyckx_K	6	Undirected
2698	Evert_S	Jannidis_F	5	Undirected
2470	Brennan_M	Greenstadt_R	5	Undirected
3402	Evert_S	Proisl_T	5	Undirected
3106	Shannon_C	Shannon_C	5	Undirected
1145	Jannidis_F	Proisl_T	5	Undirected
2532	Pielström_S	Proisl_T	5	Undirected
3724	Dazeley_R	Watters_P	5	Undirected
965	Akiva_N	Koppel_M	5	Undirected
4644	Abbasi_A	Chen_H	5	Undirected
45	Kenny_A	Kenny_A	5	Undirected
373	Morton_A	Morton_A	5	Undirected
3581	Evert_S	Schöch_C	5	Undirected
2754	Dazeley_R	Layton_R	5	Undirected
1981	Thompson_N	Thompson_N	5	Undirected
22	Frantzeskou_G	Stamatatos_E	5	Undirected
21	Craig_H	Kinney_A	5	Undirected
291	Proisl_T	Schöch_C	5	Undirected
4157	Antonia_A	McKenna_W	5	Undirected
2853	Wickmann_D	Wickmann_D	5	Undirected
4170	Evert_S	Pielström_S	5	Undirected
3010	Burrows_J	Craig_H	5	Undirected
2533	Greenstadt_R	Stolerman_A	5	Undirected
3566	Barr_G	Barr_G	5	Undirected
2383	Cercone_N	Keselj_V	5	Undirected
2572	Marder_L	Marder_L	5	Undirected
4192	Altmann_G	Popescu_I	5	Undirected
1009	Tabata_T	Tabata_T	5	Undirected
1365	Kjetsaa_G	Kjetsaa_G	5	Undirected
590	Tallentire_D	Tallentire_D	5	Undirected
1797	Muller_C	Muller_C	5	Undirected
3593	Evert_S	Vitt_T	5	Undirected
425	Proisl_T	Vitt_T	5	Undirected
1321	Ross_D	Ross_D	5	Undirected
4451	Layton_R	Watters_P	5	Undirected
1234	Gritzalis_S	Stamatatos_E	5	Undirected
898	Frautschi_R	Frautschi_R	5	Undirected
3413	Abbott_D	Allison_A	4	Undirected
392	Rybicki_J	Rybicki_J	4	Undirected
358	Koppel_M	Pennebaker_J	4	Undirected
516	Lafon_P	Lafon_P	4	Undirected
1413	Gill_P	Swartz_T	4	Undirected
3364	Brown_P	Mercer_R	4	Undirected
19	Bohnert_F	Zukerman_I	4	Undirected
1104	Hope_J	Hope_J	4	Undirected
2518	Burrows_J	Hassall_A	4	Undirected
2768	Kestemont_M	Rybicki_J	4	Undirected
3480	Caliskan_A	Greenstadt_R	4	Undirected
2792	Bailey_R	Bailey_R	4	Undirected
4103	Craig_H	Spencer_E	4	Undirected
1278	Malyutov_M	Malyutov_M	4	Undirected
3191	Church_K	Gale_W	4	Undirected
33	Allison_A	Berryman_M	4	Undirected
3046	Lyon_C	Malcolm_J	4	Undirected
2122	Craig_H	Ferguson_A	4	Undirected
4559	Horton_T	Horton_T	4	Undirected
1115	Griffiths_T	Steyvers_M	4	Undirected
3683	Bagavandas_M	Manimannan_G	4	Undirected
4667	Jannidis_F	Reger_I	4	Undirected
423	Abbott_D	Berryman_M	4	Undirected
3795	Enkvist_N	Enkvist_N	4	Undirected
1645	Palomar_M	Saiz-Noeda_M	4	Undirected
4576	Guiraud_P	Guiraud_P	4	Undirected
1018	Matthews_R	Matthews_R	4	Undirected
2271	Oakes_M	Oakes_M	4	Undirected
538	Bohnert_F	Seroussi_Y	4	Undirected
1368	Argamon_S	Pennebaker_J	4	Undirected
475	Ferguson_A	Spencer_E	4	Undirected
1163	Zhao_Y	Zobel_J	4	Undirected
1654	Antonia_A	Jordan_E	4	Undirected
3929	Tarrant_H	Tarrant_H	4	Undirected
113	Matthews_R	Merriam_T	4	Undirected
196	Bee_R	Bee_R	4	Undirected
3503	Burrows_J	Love_H	4	Undirected
